3,9,19,22,37,43
3,8,10,14,34,35
2,23,24,25,39,40
3,19,24,25,27,43
3,5,7,10,26,39
1,3,8,37,41,43
4,17,21,27,32,42
6,12,19,24,38,47
11,13,29,31,42,47
8,22,23,24,34,38
5,12,15,26,46,48
5,13,24,33,35,41
8,11,27,35,38,45
6,13,25,31,41,47
1,10,11,13,29,37
13,17,22,30,31,47
5,6,14,16,45,48
4,17,21,22,31,38
2,5,7,11,15,21
2,10,16,17,24,26
10,11,21,22,24,30
29,34,37,38,42,49
11,18,20,23,29,42
9,21,34,37,41,44
10,14,20,35,37,40
22,23,38,41,44,48
4,18,26,36,41,42
4,11,16,19,27,35
18,26,32,37,42,43
3,14,19,20,28,47
12,16,21,32,38,45
4,6,12,20,41,44
1,20,24,32,36,37
21,23,30,34,41,49
2,20,31,40,48,49
19,25,38,40,47,48
9,13,20,26,28,40
10,15,23,38,39,45
2,17,24,36,40,49
4,15,30,35,42,43
7,9,12,33,35,36
8,10,25,36,38,41
1,5,21,35,37,41
3,6,10,19,28,31
4,19,21,24,25,36
7,10,11,24,32,40
10,13,21,37,40,41
1,26,33,37,44,49
3,9,15,21,33,49
7,8,14,22,23,39
11,15,19,29,41,49
11,12,13,16,29,35
5,8,13,21,22,46
9,18,25,33,35,41
9,12,19,20,23,28
9,15,22,24,26,41
1,5,11,29,40,49
6,7,13,30,31,43
5,8,13,35,37,40
8,9,36,38,44,45
10,18,21,31,34,48
10,15,24,27,42,46
9,21,22,27,35,47
6,19,29,42,45,49
6,23,24,26,39,42
1,15,17,25,26,40
8,19,23,34,37,44
13,18,19,21,35,40
8,12,21,33,34,45
25,33,34,35,37,46
1,4,7,33,36,47
6,7,16,26,31,35
9,14,23,36,38,44
7,10,11,18,27,42
4,6,20,21,24,44
3,5,9,12,16,29
14,15,22,25,32,44
6,22,32,39,40,46
14,24,32,36,37,48
1,15,16,19,44,48
6,13,15,29,45,48
14,15,22,35,36,47
4,5,26,33,35,44
14,22,24,28,42,48
2,14,21,27,34,49
5,10,12,34,36,48
7,12,21,28,40,46
4,21,22,36,41,43
9,11,14,16,20,43
6,26,29,32,33,41
17,19,27,39,44,49
6,10,13,17,21,37
7,13,26,35,36,38
